Partname-S,Partname,Position,max_P,min_P,width,max_W,min_W
ECASD40J106M055K00+C001/K803,ECASD40J106M055K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J106M055K02+C001/K803,ECASD40J106M055K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J107M012K00+C002/K803,ECASD40J107M012K00+C002,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J107M015K00+C001/K803,ECASD40J107M015K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J107M015K00+C005/K803,ECASD40J107M015K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J107M015K02+C001/K803,ECASD40J107M015K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J107M015KA0+C011/K803,ECASD40J107M015KA0+C011,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J107M015KH0+C009/K803,ECASD40J107M015KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J127M015K00+C001/K803,ECASD40J127M015K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J157M015K00+C001/K803,ECASD40J157M015K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J157M015K00+C009/K803,ECASD40J157M015K00+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J157M015L00+C009/L801,ECASD40J157M015L00+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J157Y015K00+C001/K803,ECASD40J157Y015K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J226M045K00+C001/K803,ECASD40J226M045K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J226M045K00+C005/K803,ECASD40J226M045K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J227M010KA0+C009/K803,ECASD40J227M010KA0+C009,4.55,4.75,4.35,0.55,0.65,0.45
ECASD40J336M025K00+C001/K803,ECASD40J336M025K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J476M025K00+C001/K803,ECASD40J476M025K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J476M025K00+C005/K803,ECASD40J476M025K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J476M025K00+C007/K803,ECASD40J476M025K00+C007,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J476M025K02+C001/K803,ECASD40J476M025K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J476M025L00+C001/L801,ECASD40J476M025L00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J686M015K00+C001/K803,ECASD40J686M015K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J686M015K00+C005/K803,ECASD40J686M015K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40J686M015K02+C001/K803,ECASD40J686M015K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
