front_pos,front_width,back_pos,back_width,Lot,Partname,times
0.461,1.807,0.494,1.807,239PB0761,ECASD40D337M006KA0+C009,21-09-2023  13:49:32
0.461,1.807,0.494,1.807,239PB0761,ECASD40D337M006KA0+C009,22-09-2023  14:17:41
nan,nan,nan,nan,239PB1100,ECASD60G227M010K00+C001,03-10-2023  14:25:37
nan,nan,nan,nan,23YPB0174,ECASD41C686M040KA0+C001,07-11-2023  15:00:59
nan,nan,nan,nan,23YPB0174,ECASD41C686M040KA0+C001,07-11-2023  22:41:19
nan,nan,nan,nan,23YPB0173,ECASD41C686M040KA0+C001,08-11-2023  00:56:22
nan,nan,nan,nan,23YPB0196,ECASD40E477M006KA0+LACR,13-11-2023  11:34:50
