front_pos,front_width,back_pos,back_width,Lot,Partname,times
0.461,1.807,0.494,1.807,239PB0761,ECASD40D337M006KA0+C009,21-09-2023  13:49:32
nan,nan,nan,nan,236PB0302,ECASD40J107M015K00+C001,22-09-2023  14:17:41
0.461,1.807,0.494,1.807,239PB0761,ECASD40D337M006KA0+C009,22-09-2023  14:17:41
nan,nan,nan,nan,239PB1111,ECASD60G227M010K00+C001,22-09-2023  14:29:55
nan,nan,nan,nan,239PB1111,ECASD60G227M010K00+C001,22-09-2023  14:30:05
nan,nan,nan,nan,239PB1113,ECASD60G227M010K00+C001,22-09-2023  14:45:58
